object,confidence,count_gap,variability,difficulty
0,0.9585805,0.94441473,0.099278465,hard
1,0.75856906,0.5631255,0.061141204,hard
10,0.38862208,0.07128027,0.020063804,hard
100,0.9725585,0.96489996,0.102625854,hard
101,0.7280749,0.53784776,0.05530826,hard
102,0.97832423,0.9722823,0.104024746,hard
103,0.53523743,0.13810822,0.040031128,hard
104,0.80825245,0.68350923,0.06808646,hard
105,0.97757906,0.9708138,0.103845015,hard
106,0.98234355,0.9783346,0.10500635,easy
107,0.7329985,0.5251592,0.05702185,hard
108,0.9760775,0.9685656,0.10347954,hard
109,0.97191566,0.9580095,0.10248125,hard
11,0.9711573,0.9592253,0.102296874,hard
110,0.7224555,0.4928124,0.056275904,hard
111,0.71245235,0.5938429,0.050309353,hard
112,0.9769662,0.96998364,0.10369611,hard
113,0.794082,0.66626906,0.06542214,hard
114,0.9692684,0.95827776,0.10183393,hard
115,0.78101534,0.62986237,0.063587196,hard
116,0.80830866,0.6881701,0.06798612,hard
117,0.9769891,0.9707356,0.10369952,hard
118,0.9721991,0.9629358,0.102539614,hard
119,0.5498183,0.16667503,0.040641643,hard
12,0.7598208,0.56282204,0.061444625,hard
120,0.98677117,0.9837271,0.106093355,easy
121,0.50046057,0.11114609,0.03489917,hard
122,0.7668794,0.6109662,0.061095037,hard
123,0.79063356,0.6522975,0.06504589,hard
124,0.75486374,0.56342787,0.06025386,hard
125,0.97087574,0.9571558,0.102228925,hard
126,0.7578975,0.56574774,0.0608601,hard
127,0.9756469,0.96875757,0.103373535,hard
128,0.9659759,0.95119596,0.10105262,hard
129,0.9759606,0.9647955,0.10345725,hard
13,0.977005,0.96769285,0.1037076,hard
130,0.9652056,0.95124775,0.10086502,hard
131,0.9843433,0.9806644,0.10549672,easy
132,0.743617,0.56898975,0.057470296,hard
133,0.9832708,0.97864485,0.105234094,easy
134,0.9839625,0.9799607,0.10540304,easy
135,0.97024477,0.9594808,0.10207252,hard
136,0.98411554,0.9802372,0.10544093,easy
137,0.4260473,0.0578261,0.024939775,hard
138,0.80012226,0.65739644,0.0670227,hard
139,0.80765146,0.6919005,0.06774926,hard
14,0.798424,0.6454583,0.067068815,hard
140,0.97413707,0.96417195,0.10301088,hard
141,0.4266477,0.012723386,0.029168911,hard
142,0.9698039,0.9601101,0.101961024,hard
143,0.9720148,0.9649971,0.102493286,hard
144,0.9780936,0.97194225,0.1039701,hard
145,0.97157145,0.9620228,0.102388054,hard
146,0.75990695,0.5943282,0.06010885,hard
