object,confidence,count_gap,variability,difficulty
0,0.31754297,0.015998483,0.010712727,hard
1,0.9577416,0.9475357,0.12516226,easy
100,0.90218234,0.85959065,0.108311616,hard
103,0.9579978,0.94790345,0.12524329,easy
105,0.8734523,0.8428034,0.09992147,hard
106,0.9458887,0.9282096,0.12145001,easy
108,0.30972096,0.034808934,0.009467351,hard
109,0.42157656,0.2610574,0.014130016,hard
110,0.92814153,0.9086936,0.11597989,easy
111,0.3554275,0.051339775,0.014456878,hard
114,0.88484615,0.85025305,0.10320435,hard
115,0.521773,0.34653866,0.027337654,hard
117,0.93023384,0.9112032,0.11661767,easy
118,0.9589886,0.9490373,0.12555695,easy
122,0.90978146,0.8710495,0.11053624,hard
123,0.7556509,0.6893698,0.06954126,hard
126,0.5712079,0.43491426,0.033383477,hard
127,0.92497647,0.9017486,0.11502534,hard
128,0.945674,0.9275631,0.1213848,easy
13,0.9050308,0.8768826,0.109060615,hard
130,0.929091,0.91023225,0.116268314,easy
131,0.945674,0.9275631,0.1213848,easy
133,0.95822793,0.94809645,0.12531622,easy
135,0.80552775,0.7517136,0.081727296,hard
137,0.9516718,0.93944925,0.12325087,easy
138,0.75949204,0.659428,0.07131428,hard
140,0.26017702,0.07081017,0.0025709562,hard
145,0.9566673,0.94621617,0.12482264,easy
146,0.94499636,0.92720705,0.121171795,easy
149,0.957016,0.94669884,0.12493291,easy
15,0.87443644,0.83747125,0.1002205,hard
150,0.4071985,0.21419877,0.013341659,hard
151,0.7520622,0.65126616,0.06929343,hard
152,0.28325453,0.005993694,0.0075502587,hard
153,0.27377442,0.019435912,0.005790794,hard
155,0.9049793,0.86305517,0.109134026,hard
158,0.95898366,0.9490831,0.1255555,easy
16,0.94477594,0.9267332,0.121103995,easy
160,0.87982833,0.8461421,0.10176142,hard
161,0.26864058,0.07777977,0.0028480974,hard
163,0.92918235,0.9080931,0.11630044,easy
164,0.9058522,0.86600906,0.10937575,hard
165,0.9581671,0.9480087,0.1252969,easy
166,0.93124115,0.9102415,0.11692829,easy
167,0.6386024,0.50288886,0.04571477,hard
168,0.5385955,0.353755,0.030017765,hard
169,0.33504772,0.13924639,0.007608065,hard
17,0.42752987,0.2719664,0.014091217,hard
171,0.9245153,0.899372,0.11489201,hard
175,0.7467498,0.6648351,0.06755846,hard
177,0.4618152,0.15535593,0.02584947,hard
182,0.87603813,0.82566375,0.10078603,hard
184,0.8036432,0.7537774,0.08119233,hard
185,0.2592646,0.00346905,0.006069016,hard
186,0.3586991,0.1367851,0.010672263,hard
187,0.905897,0.8741411,0.10934589,hard
188,0.8717792,0.8397394,0.09945249,hard
189,0.41965333,0.15711915,0.017508043,hard
190,0.73207355,0.599886,0.06526437,hard
191,0.4154252,0.23424578,0.014243718,hard
193,0.2873757,0.11038579,0.00353829,hard
196,0.88469726,0.8283059,0.1033867,hard
199,0.66177326,0.53639066,0.04981794,hard
20,0.28442356,0.010525018,0.007885664,hard
200,0.5341951,0.34489816,0.028944643,hard
204,0.31017604,0.03940651,0.0085794935,hard
205,0.6685948,0.5777504,0.050662056,hard
207,0.72600156,0.65285397,0.06276598,hard
208,0.82267684,0.77194405,0.08615253,hard
210,0.95720994,0.94696265,0.12499422,easy
211,0.95720994,0.94696265,0.12499422,easy
213,0.37217662,0.1908267,0.010377199,hard
216,0.31028962,0.14124292,0.0046523684,hard
217,0.63658726,0.47875595,0.04572661,hard
218,0.8370389,0.7734031,0.0900986,hard
219,0.88263446,0.8419144,0.10263315,hard
22,0.50810736,0.33381158,0.025728248,hard
221,0.8164491,0.76631594,0.08449579,hard
222,0.62684035,0.45887542,0.04421288,hard
223,0.95800465,0.9477969,0.12524547,easy
225,0.3064212,0.061339304,0.007893146,hard
226,0.36316052,0.076354176,0.013411473,hard
227,0.9495349,0.9322244,0.12258916,easy
228,0.2947343,0.10685298,0.005366262,hard
23,0.76014864,0.6439711,0.0714292,hard
234,0.5575725,0.2649389,0.039290827,hard
236,0.95979553,0.9500487,0.12581281,easy
246,0.8383655,0.770111,0.09067144,hard
248,0.2551027,0.0005785525,0.0061365454,hard
250,0.38395488,0.026888639,0.022652112,hard
252,0.27280104,0.09815329,0.002805801,hard
254,0.34683257,0.11891851,0.009472059,hard
259,0.958386,0.9483198,0.12536615,easy
26,0.40553203,0.16458711,0.017592251,hard
260,0.85165554,0.79685926,0.09403711,hard
261,0.27655074,0.0069891214,0.006752627,hard
263,0.312698,0.029525071,0.009544204,hard
264,0.6512485,0.5493194,0.047304165,hard
265,0.9207015,0.88875854,0.11379578,hard
266,0.7572561,0.65846586,0.07034587,hard
267,0.9564886,0.94607925,0.12476632,easy
268,0.26519063,0.030248865,0.007234015,hard
269,0.9208178,0.89666003,0.11377,hard
271,0.43251127,0.19690438,0.017594898,hard
272,0.9329856,0.91279227,0.11746257,easy
273,0.9580367,0.94797266,0.12525582,easy
274,0.8833634,0.85098124,0.10275357,hard
275,0.9525308,0.9404982,0.12352067,easy
277,0.5657353,0.29755846,0.038878303,hard
278,0.5000532,0.23937175,0.027900072,hard
28,0.87282825,0.8389286,0.09977767,hard
281,0.75192887,0.6655345,0.06884127,hard
282,0.39869025,0.23480581,0.012844346,hard
283,0.5351173,0.39332408,0.028313287,hard
287,0.9051624,0.8727438,0.10913097,hard
29,0.74219155,0.61114454,0.06768193,hard
290,0.2947335,0.09304182,0.004769064,hard
291,0.55732113,0.38768888,0.03201864,hard
293,0.9572523,0.9469735,0.12500755,easy
294,0.7495663,0.6249811,0.06941273,hard
295,0.5574925,0.36064896,0.03336725,hard
297,0.90225095,0.8570897,0.108356416,hard
