object,confidence,count_gap,variability,difficulty
0,0.59531057,0.41412246,0.03497333,hard
1,0.7337337,0.5624619,0.05572399,hard
10,0.71967924,0.504943,0.054996416,hard
100,0.9694798,0.959911,0.101884335,easy
1000,0.7936111,0.6659328,0.065280326,hard
1001,0.9594102,0.9483018,0.09946988,hard
1002,0.96344405,0.94788677,0.100446336,hard
1003,0.96499866,0.9522394,0.10081116,ambiguous
1004,0.29200035,0.0052751005,0.015618584,hard
1005,0.29742655,0.06567563,0.0074346242,hard
1006,0.96431535,0.95376974,0.100642726,ambiguous
1007,0.49827364,0.18959889,0.028329626,hard
1008,0.5231316,0.121567816,0.03888366,hard
1009,0.96549135,0.9551936,0.10092475,easy
101,0.7501485,0.58695006,0.05826167,hard
1010,0.49826458,0.12012848,0.033668067,hard
1011,0.9654556,0.95498365,0.100916535,easy
1012,0.7478514,0.6209857,0.05669839,hard
1013,0.9659344,0.95231223,0.10103846,easy
1014,0.54335624,0.3570278,0.028971687,hard
1015,0.85523415,0.7843339,0.07660467,hard
1016,0.96482176,0.9544798,0.10076397,ambiguous
1017,0.9629612,0.95311016,0.10031654,ambiguous
1018,0.9667876,0.9566749,0.10123612,easy
1019,0.49401703,0.07804707,0.036705058,hard
102,0.67354983,0.5017213,0.045615405,hard
1020,0.95108414,0.9390364,0.09749476,hard
1021,0.53375345,0.18774047,0.035367496,hard
1022,0.48907042,0.14654845,0.029721903,hard
1023,0.9616818,0.9508685,0.10001208,hard
1024,0.4798597,0.029096872,0.03868395,hard
1025,0.68552995,0.47856545,0.048751075,hard
1026,0.9631541,0.9525911,0.100364126,ambiguous
1027,0.9666758,0.9531596,0.101216696,easy
1028,0.715743,0.51480013,0.053626735,hard
1029,0.54160476,0.19168293,0.036626395,hard
103,0.3460198,0.007653147,0.018979894,hard
1030,0.3842716,0.09452686,0.018351708,hard
1031,0.96630937,0.9561918,0.10112105,easy
1032,0.49161455,0.29648,0.023302887,hard
1033,0.9659173,0.95309985,0.10103217,easy
1034,0.5480453,0.38449502,0.027069997,hard
1035,0.9765023,0.9654817,0.10358931,easy
1036,0.96465313,0.9542269,0.10072355,ambiguous
1037,0.9641653,0.9528727,0.10060779,ambiguous
1038,0.6662522,0.44637388,0.046202663,hard
1039,0.96264035,0.952224,0.10024076,ambiguous
104,0.48596188,0.0456039,0.03827484,hard
1040,0.9610759,0.950041,0.099867634,hard
1041,0.96576434,0.9553811,0.10099085,easy
1042,0.9623866,0.9497686,0.10018423,hard
1043,0.4889957,0.070875645,0.036323562,hard
1044,0.7830965,0.64629114,0.06352157,hard
1045,0.79966736,0.7423553,0.06531986,hard
1046,0.9662176,0.95253193,0.10110679,easy
1047,0.80963546,0.6827951,0.06842022,hard
1048,0.96496814,0.9544801,0.100799575,ambiguous
1049,0.9626315,0.95186365,0.10023952,hard
105,0.70675284,0.50869524,0.051970728,hard
1051,0.84939283,0.79879826,0.07510574,hard
1052,0.9656497,0.9552374,0.100963,easy
1053,0.50262254,0.3026652,0.024764555,hard
1054,0.5447478,0.21319419,0.035629082,hard
1055,0.6880884,0.46506345,0.04996401,hard
1056,0.67179185,0.45347142,0.047055867,hard
1057,0.9681916,0.9582696,0.10157424,easy
1058,0.96642137,0.95352066,0.10115374,easy
1059,0.96398103,0.95216346,0.10056472,ambiguous
106,0.32755688,0.010535926,0.019759828,hard
1060,0.73711795,0.5774302,0.055798337,hard
1061,0.74997586,0.59699345,0.0578443,hard
1062,0.51345086,0.3243776,0.02570242,hard
1063,0.9724578,0.962438,0.10260483,easy
1064,0.9634464,0.9528618,0.10043435,ambiguous
1065,0.3038264,0.038050592,0.012209989,hard
1066,0.53255934,0.19479439,0.034463342,hard
1067,0.9662281,0.9530306,0.101107925,easy
1068,0.8324017,0.7474388,0.0720577,hard
1069,0.35205716,0.040532887,0.01524465,hard
107,0.48729816,0.25392628,0.02472105,hard
1070,0.44991627,0.02259317,0.032901928,hard
1071,0.33063975,0.012241542,0.016607039,hard
1072,0.3302133,0.051219255,0.015769767,hard
1073,0.96390593,0.9532832,0.10054457,ambiguous
1074,0.49945873,0.11898494,0.034107786,hard
1075,0.9634604,0.9527144,0.10043811,ambiguous
1076,0.25679958,0.011414126,0.010195486,hard
1077,0.57721967,0.27737772,0.037604503,hard
1078,0.9611963,0.9503346,0.09989591,hard
1079,0.49707237,0.13413131,0.032232113,hard
108,0.41205376,0.012251288,0.026816627,hard
1080,0.96403205,0.9510712,0.10057952,hard
1081,0.47382247,0.1698069,0.025230262,hard
1082,0.68208456,0.4932427,0.04739297,hard
1083,0.53428763,0.41090596,0.024699267,hard
1084,0.43060172,0.0005737543,0.03113532,hard
1085,0.69588053,0.49440673,0.05024342,hard
1086,0.9595339,0.94848496,0.099499196,hard
1087,0.96832776,0.9583927,0.101607,easy
1088,0.7849928,0.6643652,0.06346252,hard
1089,0.9709244,0.96097714,0.10223372,easy
109,0.36208937,0.043967187,0.018793192,hard
1090,0.96811825,0.95815957,0.1015567,easy
1091,0.9649331,0.9544189,0.1007909,ambiguous
1092,0.61882937,0.35367236,0.041342624,hard
1093,0.44405273,0.014204949,0.03261307,hard
1094,0.35307786,0.13124956,0.011367542,hard
1095,0.77381766,0.6449752,0.061585657,hard
1096,0.49956918,0.15332785,0.03129199,hard
1097,0.8035532,0.66894794,0.06746277,hard
1098,0.9447403,0.92348176,0.09602884,hard
1099,0.6616258,0.5416081,0.042412423,hard
11,0.82843053,0.7118787,0.07194183,hard
110,0.44670296,0.022779435,0.032225594,hard
1100,0.3167067,0.049293637,0.01464021,hard
1101,0.48888463,0.11282736,0.032411147,hard
1102,0.68394303,0.49716458,0.04765381,hard
1103,0.96478844,0.94914216,0.10076901,hard
1104,0.84939283,0.79879826,0.07510574,hard
1105,0.7847645,0.7204889,0.06261908,hard
1106,0.7267645,0.5288098,0.055459224,hard
1107,0.7587298,0.65112805,0.058204398,hard
1108,0.8038305,0.7194748,0.0663468,hard
1109,0.7204959,0.52018946,0.05445245,hard
111,0.41205376,0.012251288,0.026816627,hard
1110,0.9654796,0.9550883,0.1009221,easy
1111,0.972007,0.96249753,0.10249529,easy
1112,0.8195061,0.7003848,0.07020361,hard
1113,0.97010505,0.95931256,0.10203735,easy
1114,0.9723503,0.96306217,0.10257828,easy
1115,0.9634011,0.95289385,0.10042337,ambiguous
1116,0.7440645,0.5922594,0.056776956,hard
1117,0.96451116,0.953947,0.100689985,ambiguous
1118,0.73702884,0.5350401,0.057477713,hard
1119,0.97006536,0.96052563,0.1020258,easy
112,0.943094,0.919301,0.095654085,hard
1120,0.96187675,0.9509923,0.10005868,hard
1121,0.84062326,0.7342946,0.07419494,hard
1122,0.49063045,0.25185853,0.026486013,hard
1123,0.97078407,0.9616233,0.10219883,easy
1124,0.9657705,0.9507844,0.101002984,easy
1125,0.9653086,0.9514876,0.10088833,easy
1126,0.97039056,0.9608553,0.10210437,easy
1127,0.67735946,0.5258491,0.046261143,hard
